Molecule,TH2,TH4,TH5,TH7,TH1,TH3,TH6,TH8
PG 14:0/14:0,404.6803476,477.7797194,489.638318,296.3554165,309.7562464,458.497371,432.764024,528.5923294
PG 14:0/18:1,19192.13579,17357.02178,12538.73718,14118.1281,15009.3827,10184.2974,18070.35782,15915.94695
PG 14:0/18:2,6344.636509,7585.108025,6338.018959,4578.829067,6411.771797,5010.076523,6752.864715,6032.796761
PG 14:0/18:3,59.62673613,,,162.3745393,,316.5560443,110.7150271,
PG 14:0/20:4,1185.857059,967.8673568,1141.99667,1618.450941,1625.815543,1335.894698,1518.139201,1267.06198
PG 16:0/14:0,4448.94415,2990.341627,2617.011076,4608.913114,3663.076359,4072.066204,7093.146989,6588.601175
PG 16:0/16:0,89432.34595,67187.73635,71984.31795,120065.6317,84369.53243,81545.15782,155355.3931,168887.245
PG 16:0/16:1,57664.63819,36004.02543,26276.65069,49693.09664,46465.15646,34003.08107,89081.9207,66975.70949
PG 16:0/18:0,4580.900999,9333.278236,7290.557561,3527.816562,4765.696833,13806.13878,2426.972219,1945.315757
PG 16:0/18:1,3196631.876,2814465.872,2556055.994,2927542.834,2611666.853,2521314.146,3263507.456,3231876.333
PG 16:0/18:2,778652.4931,641887.1978,564176.6976,744365.5967,960367.2309,789290.6769,1355411.16,1079094.074
PG 16:0/18:3,507.2464981,1968.95422,515.5734834,292.7196417,385.7883218,279.6531741,597.9205552,358.3878405
PG 16:0/20:2,193919.2057,204396.5426,269255.6476,190036.8853,210301.0757,200570.3468,185092.169,191210.598
PG 16:0/20:3,60673.22155,54696.57924,56545.47695,54369.81119,63921.64846,43664.35665,81139.53047,63331.6424
PG 18:0/14:0,2845.314411,2543.929858,2556.517954,3247.824316,2632.431419,2301.168505,5175.464324,4277.34051
PG 18:0/16:1,39227.651,33413.40559,22490.21695,32424.62842,23607.56304,16252.14267,45552.43335,35986.41359
PG 18:0/18:0,36260.54576,36763.34622,42767.69908,41787.17817,26256.63572,29199.73952,40750.80295,51835.72444
PG 18:0/18:1,553204.9684,492016.3536,460619.3332,560720.0945,348992.1784,349203.2474,585865.4403,569345.877
PG 18:0/18:2,699905.4286,584098.4976,717808.4468,815065.3458,819538.7581,677934.3842,1282828.483,971922.8127
PG 18:0/18:3,11098.38328,10726.71122,10440.15048,12152.36238,11972.2716,12540.60863,18502.9985,15732.8833
PG 18:0/20:0,12231.72614,13313.09876,18619.34046,15883.6866,9688.242368,15005.37882,7385.401975,23432.40262
PG 18:0/20:1,10117.08472,9200.973969,11141.23897,12723.74214,9313.686681,7725.488739,12136.15515,11034.48213
PG 18:0/20:2,69605.11363,75584.95602,86737.10228,88642.53808,91522.51897,77277.05814,101531.7131,101689.5746
PG 18:0/20:3,95096.01907,82151.53117,73974.08421,114168.1027,95526.99066,72760.73525,128517.5699,120544.0008
PG 18:0/20:4,142756.1289,118388.638,120980.4529,165938.4099,208189.2801,130640.8098,257575.4393,199174.0991
PG 18:0/20:5,4408.24604,3988.348973,2989.571504,3785.739673,2629.026543,2327.800936,3075.738436,4423.516929
PG 18:0/22:4,22254.96292,17010.55371,17634.89701,21236.86489,18071.42771,15476.81991,21449.61822,25152.89468
PG 18:0/22:5,26173.70106,24042.95898,17742.37745,29177.26269,26868.02743,18548.57976,27856.46542,30543.82133
PG 18:0/22:6,35115.96357,30261.94542,23280.16484,38993.32864,31726.30916,28222.02978,36559.33389,38906.24099
